내용,URL,담당자,상태,설명,유형,인증,카테고리
추가 정보 입력,/auth/profile,,시작 전,최초 로그인 회원의 이름·생년월일·국적을 저장합니다. 이 정보는 이후 여권(Passport) 페이지에 그대로 표시됩니다. 저장 시 여권이 함께 발급되고 가입 크레딧이 지급됩니다.,POST,필요,인증
카카오 로그인,/auth/kakao,,시작 전,"카카오 인가 코드로 로그인합니다. 최초 로그인이면 회원을 생성하고 isNewUser: true를 반환하며, 이 경우 추가 정보 입력 API를 이어서 호출해야 합니다.",POST,불필요,인증
내 정보 조회,/users/me,,시작 전,로그인한 회원의 기본 정보와 크레딧 잔액을 조회합니다.,GET,필요,인증
기본 전신 이미지 삭제,/users/me/body-image,,시작 전,저장된 피팅용 바디 이미지를 삭제합니다. 삭제 후 피팅을 다시 하려면 이미지를 새로 업로드해야 합니다.,DELETE,필요,인증
위시리스트 담기,/wishlist,,시작 전,상품을 위시리스트에 추가합니다. 저장된 데이터는 Boarding Pass 발급 시 취향 데이터로 활용됩니다. 이미 담긴 색상이면 그대로 유지되며 중복 저장되지 않습니다.,POST,필요,위시리스트 / 쇼핑백
위시리스트 조회,/wishlist,,시작 전,회원의 위시리스트 전체를 조회합니다. 비어 있으면 items는 빈 배열이며 totalCount는 0입니다.,GET,필요,위시리스트 / 쇼핑백
위시리스트 삭제,/wishlist/{productColorId},,시작 전,위시리스트에서 상품을 제거합니다. 상세페이지의 하트 토글 해제 시 호출합니다.,DELETE,필요,위시리스트 / 쇼핑백
쇼핑백 담기,/shopping-bag,,시작 전,"상품을 사이즈 단위로 쇼핑백에 담습니다. 구매 기능은 제공하지 않으며, 담긴 데이터는 Boarding Pass 발급 시 취향 데이터로 활용됩니다. 재고 부족 시 실패합니다.",POST,필요,위시리스트 / 쇼핑백
쇼핑백 조회,/shopping-bag,,시작 전,회원의 쇼핑백 항목 전체를 조회합니다. 비어 있으면 items는 빈 배열입니다.,GET,필요,위시리스트 / 쇼핑백
쇼핑백 항목 삭제,/shopping-bag/{shoppingBagItemId},,시작 전,쇼핑백에서 항목을 제거합니다.,DELETE,필요,위시리스트 / 쇼핑백
